FID,OBJECTID,WWD_NO,PWSID,PWS_NAME,SRC_DELIN,ZONE,PERIM_FT,ACRES,HECTARES,MILES_SQ,LAST_UPDAT,LOAD_DATE,STATUS,UPDATED_BY,Shapearea,Shapelen
36,0,0125,1160291,MONTICELLO WATER/SEWER COMM,LARGE RESERVOIR,3,253034.027913,52139.9469792,21100.2879296,81.46866717,2019-01-25T00:00:00.000Z,2019-01-25T00:00:00.000Z,ACTIVE,DOW 2019,2271207006.28269,253034.027584546,,
37,31,0034,0010082,COLUMBIA UTILITIES COMMISSION,STREAM,3,258906.721,52861.219,21392.935,82.569,2019-01-23T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,2302317895.93285,258906.720633859,,
38,395,1402,0880452,WEST LIBERTY WATER COMPANY,STREAM,3,260411.534,56376.181,22815.441,88.06,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2455408583.6803,260411.535438856,,
39,28,0028,0720552,KENTUCKY STATE PENITENTIARY,LARGE RESERVOIR,3,261884.567,48104.344,19467.828,75.139,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2095136908.54271,261884.567863393,,
40,216,0632,1070144,FRANKLIN WATER WORKS,STREAM,3,264974.657,44970.73,18199.654,70.244,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1958655473.16734,264974.655345367,,
41,173,0467,0630238,LAUREL CO WATER DIST #2,SMALL RESERVOIR,3,271389.548004,57041.024531,23083.6836463,89.12660084,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2484697088.96811,271389.548006348,,
42,329,1040,0910065,CARLISLE WATER DEPARTMENT,STREAM,3,274049.194,65291.479,26423.462,101.985,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2843705529.95963,274049.19522226,,
43,153,0330,0920181,HARTFORD MUNICIPAL WATER WORKS,STREAM,3,276520.239,58678.21,23747.072,91.655,2019-02-08T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2555671155.16109,276520.239055751,,
44,340,1062,FALSE01,"CITY OF LAFAYETTE, TN",STREAM,3,280477.836,54778.772,22168.969,85.564,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2385835020.70924,280477.836946503,,
45,247,0664,1090060,CAMPBELLSVILLE MUN WATER SYS,LARGE RESERVOIR,3,282059.027,40637.777,16446.108,63.476,2019-02-13T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1769937998.99571,282059.023705723,,
46,187,0493,0470990,FORT KNOX / ENGR & HOUSING,STREAM,3,283449.772862,64936.3669184,26278.8153511,101.46307332,2019-02-01T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2828616829.45331,283449.773509014,,
47,305,0916,0770566,SALYERSVILLE MUNICIPAL WATER,STREAM,3,283471.744026,60409.3374762,24446.7915338,94.38958982,2019-02-11T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2631420214.74122,283471.744127918,,
48,259,0717,0880452,WEST LIBERTY WATER COMPANY,STREAM,3,285533.427,63042.185,25513.172,98.472,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,2745739780.70427,285533.427831666,,
49,197,0519,0170360,PRINCETON WATER/SEWER COMM,LARGE RESERVOIR,3,289910.777,63490.818,25694.734,99.173,2019-02-07T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2765279511.92131,289910.777860462,,
50,176,0469,1050157,GEORGETOWN MUN WATER SERVICE,STREAM,3,293111.426,66298.66,26831.068,103.559,2019-01-07T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,2887572305.823,293111.424743944,,
51,34,0036,0090287,MILLERSBURG MUN WATER WORKS,STREAM,3,294166.573,69087.573,27959.741,107.915,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,3009040631.02932,294166.57464104,,
52,63,0076,0090343,PARIS WATER WORKS,STREAM,3,297515.758,55712.412,22546.813,87.023,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2426498753.08878,297515.760141532,,
