__OBJECTID,PUBLIC WATER SYSTEM ID,Water System Name,Status,Principal County Served,Primary Source Water Type,Longitude,Latitude,attribute_7,Note,attribute_9,x,y
132,KY0370143,FRANKFORT PLANT BOARD,A,FRANKLIN,SW,-84.845929,38.188276,,,,-84.8459289805762,38.188276031569
133,KY0370346,PEAKS MILL WATER DISTRICT,A,FRANKLIN,SWP,-84.730823,38.050931,,,,-84.7308229923195,38.0509310316946
134,KY0380149,FULTON MUNICIPAL WATER SYSTEM,A,FULTON,GW,-88.874553,36.503624,,,,-88.8745529601166,36.5036239986021
135,KY0380193,HICKMAN WATER DEPARTMENT,A,FULTON,GW,-89.17827,36.57036,,,,-89.1782700339108,36.5703600187908
136,KY0390130,GALLATIN COUNTY WATER DISTRICT,A,GALLATIN,GW,-84.853072,38.728945,,,,-84.8530720243894,38.7289450249847
137,KY0390444,WARSAW WATER WORKS,A,GALLATIN,GW,-84.899621,38.784985,,,,-84.8996210156135,38.7849850025797
138,KY0390608,RIVER'S EDGE CAMPGROUND,I,GALLATIN,GW,-84.901195,38.783364,,,,-84.9011950436543,38.7833640016046
139,KY0400151,GARRARD CO WATER ASSOC INC,A,GARRARD,SWP,-84.579393,37.627679,,,,-84.5793929967286,37.6276789998164
140,KY0400233,LANCASTER WATER WORKS,A,GARRARD,SW,-84.58772,37.614786,,,,-84.5877200200863,37.614785994498
141,KY0410047,BULLOCK PEN WATER DISTRICT,A,GRANT,SW,-84.606655,38.783319,,,,-84.6066549791396,38.7833189752188
142,KY0410662,CORINTH WATER DISTRICT,A,GRANT,SWP,-84.565056,38.497411,,,,-84.5650559746256,38.4974110022877
143,KY0410107,DRY RIDGE WATER WORKS COMMISSION,A,GRANT,SWP,-84.593455,38.681708,,,,-84.5934550445232,38.6817080339551
144,KY0410472,WILLIAMSTOWN MUNICIPAL WATER DEPT,A,GRANT,SW,-84.559605,38.64072,,,,-84.5596049974816,38.6407199849875
145,KY0420084,GRAVES CO WATER DIST - CONSUMERS,A,GRAVES,GWP,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
146,KY0420027,GRAVES CO WATER DIST - FANCY FARM,A,GRAVES,GW,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
147,KY0420172,GRAVES CO WATER DIST - HARDEMAN,A,GRAVES,GWP,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
148,KY0420194,GRAVES CO WATER DIST - HICKORY,A,GRAVES,GW,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
149,KY0420534,GRAVES CO WATER DIST - SEDALIA,A,GRAVES,GW,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
150,KY0420405,GRAVES CO WATER DIST - SOUTH GRAVES,A,GRAVES,GW,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
151,KY0420274,MAYFIELD ELECTRIC & WATER,A,GRAVES,GW,-88.633066,36.741841,,,,-88.6330659589775,36.7418409916509
152,KY0423170,PILGRIMS PRIDE CORP,A,GRAVES,GW,-88.652352,36.828817,,,,-88.6523519796437,36.8288170073323
153,KY0420971,RECOVERY WORKS,A,GRAVES,GW,-88.749681,36.725736,,,,-88.74968102708,36.7257360003541
154,KY0420423,SYMSONIA WATER DISTRICT,A,GRAVES,GW,-88.50446,36.917084,,,,-88.5044599987994,36.9170840051117
155,KY0420475,WINGO WATER & SEWER DEPARTMENT,A,GRAVES,GW,-88.874553,36.503624,,,,-88.8745529601166,36.5036239986021
156,KY0430063,CANEYVILLE MUNICIPAL WATER WORKS,A,GRAYSON,SWP,-86.485763,37.424313,,,,-86.4857630177171,37.4243130271621
157,KY0430616,GRAYSON COUNTY WATER DISTRICT,A,GRAYSON,SW,-86.459202,37.587736,,,,-86.4592019907224,37.5877360297463
158,KY0430244,LEITCHFIELD WATER WORKS,A,GRAYSON,SW,-86.388006,37.563211,,,,-86.3880060128795,37.5632109859311
159,KY0440167,GREEN TAYLOR WATER DISTRICT,A,GREEN,SWP,-85.493426,37.26867,,,,-85.4934260135429,37.2686700091305
160,KY0440168,GREENSBURG WATER WORKS,A,GREEN,SW,-85.89171,37.271348,,,,-85.8917099949378,37.2713479867587
161,KY0450410,CITY OF SOUTH SHORE WATER WORKS,A,GREENUP,GW,-82.9674647,38.724103,,,,-82.9674646747313,38.7241029714303
